id,title,description,category,source,type,url,github_url,github_stars,github_language,is_indexed,added_at,why_interesting
17,Ruflo,Agent orchestration platform for Claude — deploy multi-agent workflows with a visual builder and structured output routing,orchestration,github,project,https://github.com/ruvnet/ruflo,,54181,,t,2026-05-19 00:00:00+00,"53k stars. First major orchestration platform built specifically for the Claude ecosystem. The 'single agent framework, many providers' era is giving way to framework-specific orchestration layers. TypeScript, visual workflow builder, supports Claude Code and OpenClaw natively."
18,pentest-ai,Offensive security MCP server — wraps 205 pentesting tools and 17 specialist agents behind a single MCP interface,security,github,project,https://github.com/0xSteph/pentest-ai,,268,,t,2026-05-19 00:00:00+00,"268 stars, MIT license. The first serious attempt to put offensive security behind MCP. 205 tools (nmap, exploitation, OSINT) accessible to any MCP client. Shows MCP reaching beyond dev tools into security operations. Active commits. Python."
20,Warp Oz Multi-Agent Orchestration,"Multi-agent orchestration in Warp's Oz — delegate complex tasks across Claude Code, Codex, and Warp Agent with worktree isolation and message passing",orchestration,twitter,project,https://x.com/warpdotdev/status/2056772856835453395,,,,t,2026-05-19 00:00:00+00,"177 likes, 81k views. First terminal-based multi-agent orchestrator that crosses framework boundaries. Each subagent gets its own worktree (local) or Docker container (cloud). The /orchestrate command generates a delegation plan and agents coordinate via structured message passing. This is the 'agent of agents' pattern going mainstream in terminal tools."
21,Plano,"AI-native proxy and data plane for agentic apps — LLM routing, safety guardrails, orchestration, and observability in one Rust proxy",infrastructure,github,project,https://github.com/katanemo/plano,,,,t,2026-05-19 00:00:00+00,"6.4k stars, Rust, built on Envoy. The 'Envoy for agents' pattern — sits between your agents and LLM providers handling routing, rate limiting, safety checks, and cost tracking. Most agent teams build this ad-hoc; Plano gives it to you as a drop-in proxy. Solves a real infra gap."
22,Cozeloop,"Full-lifecycle agent optimization platform — dev, debug, eval, and monitor agents from a single Go service",infrastructure,github,project,https://github.com/coze-dev/coze-loop,,,,t,2026-05-19 00:00:00+00,"5.4k stars, Go, from ByteDance's Coze team. Agent eval + monitoring + prompt management in one platform. The lifecycle angle matters — most tools do eval OR observability, Cozeloop does both plus a playground for iteration. Good fit for teams running agents in production who need to close the feedback loop between monitoring and improvement."
23,CubeSandbox,"Hardware-isolated sandbox for AI agents built on RustVMM + KVM — boots in under 60ms, uses less than 5MB per instance",infrastructure,github,project,https://github.com/TencentCloud/CubeSandbox,,,,t,2026-05-20 00:00:00+00,"From Tencent Cloud. Not containers — actual hardware-level isolation via KVM micro-VMs. E2B SDK compatible. 5.8k stars in 6 weeks, Rust, Apache 2.0. The agent sandbox problem (how do you run untrusted agent code safely?) is one of the unsolved infra gaps. Most solutions use Docker with seccomp. CubeSandbox uses virtualization, which is fundamentally harder to escape. 2000+ concurrent sandboxes on a single node. This is the security layer production agents need."
24,Open Multi-Agent,"TypeScript-native multi-agent orchestration — turns a goal into a task DAG automatically, with MCP and live tracing, three runtime dependencies",orchestration,github,project,https://github.com/open-multi-agent/open-multi-agent,,,,t,2026-05-20 00:00:00+00,"6.2k stars, MIT, created March 2026. The 3-dependency claim is rare in a space where most frameworks pull in hundreds. Model-agnostic: Claude, Gemini, OpenAI, DeepSeek, Ollama. The goal-to-DAG pattern means you describe what you want, not how agents coordinate. Built-in live tracing solves the visibility gap. TypeScript-native fills the Node.js ecosystem gap that most agent frameworks ignore."
25,Sandcastle,"Orchestrate sandboxed coding agents in TypeScript with sandcastle.run() — single API call spins up an isolated agent on Docker, Podman, or Vercel Firecracker microVMs",orchestration,github,project,https://github.com/mattpocock/sandcastle,,,,t,2026-05-20 00:00:00+00,"From Matt Pocock (Total TypeScript). 4.6k stars, MIT, 483 forks. The key insight: agent orchestration needs sandboxing as a first-class concern, not an afterthought. sandcastle.run() handles branch isolation, sandbox provisioning, and merge-back automatically. Provider-agnostic (Docker, Podman, Vercel). This is the 'test runner for agents' pattern — you don't think about the sandbox, you just run. Active commits, 660+ PRs merged."
26,"Context Mode — Context Window Optimization for AI Coding Agents (15.5K Stars, HN #1)","Context window optimization for AI coding agents — sandboxes tool output, claims 98% reduction in context usage across 15 platforms",agents,github,project,https://github.com/mksglu/context-mode,,15467,TypeScript,t,2026-05-20 00:00:00+00,"15K stars. #1 on Hacker News with 570+ points. Used at Microsoft, Google, Meta. 98% context reduction. 15 platforms. Not security but massive traction."
27,"DeerFlow — ByteDance SuperAgent with Sandboxes, Memory, Skills, Subagents (69K Stars)","Open-source long-horizon SuperAgent by ByteDance that researches, codes, and creates. Uses sandboxes, memories, tools, skills, subagents and message gateway to handle tasks from minutes to hours.",agent_infrastructure,github,project,https://github.com/bytedance/deer-flow,https://github.com/bytedance/deer-flow,69172,,t,2026-05-19 00:00:00+00,68K+ stars. Handles tasks that take minutes to hours with full agent infrastructure — not a demo wrapper. ByteDance-backed and actively maintained.
28,"OpenSandbox — Secure, Fast Sandbox Runtime for AI Agents from Alibaba (10.8K Stars)","Secure sandbox runtime for AI agents from Alibaba — extensible plugin architecture for isolation, resource limits, and policy enforcement",infrastructure,github,project,https://github.com/alibaba/OpenSandbox,,10780,,t,2026-05-20 00:00:00+00,"10.7k stars, Apache 2.0, Python. The agent sandbox space is consolidating fast: CubeSandbox (Tencent, KVM micro-VMs), OpenSandbox (Alibaba, plugin-based), microsandbox (local Rust), Sandcastle (Matt Pocock, TypeScript). OpenSandbox's angle is extensibility — plugins for custom isolation policies rather than one-size-fits-all containerization. Active commits. Part of the 'agent runtime isolation' infra layer that production agents require."
29,Microsandbox — Unexploitable Secrets for AI Agents via Hardware-Isolated microVMs (6.2K Stars),"Spins up lightweight VMs in milliseconds. Hardware-level isolation. Rootless, embeddable SDK. Key feature: secrets that can't leak — unexploitable secret keys that never enter the VM. Every other sandbox tries to contain what the agent does. This one prevents what the agent can ever know. Written in Rust. Under 100ms boot time.",infrastructure,github,project,https://github.com/superradcompany/microsandbox,,6196,Rust,t,2026-05-20 00:00:00+00,"Contrarian angle: keeps secrets FROM the agent, not just contained. Hardware isolation + unexploitable keys that never enter VM. Rust. 100ms boot. Our exact niche."
30,Memori,"Agent-native memory infrastructure — LLM-agnostic layer that turns agent execution and conversation into structured, persistent state for production systems",agents,github,project,https://github.com/MemoriLabs/Memori,,,,t,2026-05-20 00:00:00+00,"14.6k stars, Python, 2200 forks. Different from claude-mem (which is session context persistence). Memori is structured state: it captures execution traces, decisions, and conversation turns, then compresses them into retrievable memory that any LLM can query. The agent-memory problem has two layers — short-term context (solved by bigger windows) and long-term structured recall (still unsolved). Memori targets the second. Production systems need agents that remember what happened across sessions without re-reading the full transcript."
48,MassGen,"Open-source multi-agent scaling system with TUI — agents work in parallel, vote on best solutions via consensus, with checklist-gated quality rounds",orchestration,github,project,https://github.com/massgen/MassGen,,1034,,t,2026-05-19 00:00:00+00,"1034 stars. The consensus voting mechanism is genuinely different from other orchestrators. Agents collaborate, vote to converge, and self-evaluate with evolving criteria. Worktree isolation per agent, MCP tool support, checkpoint safety as standalone MCP server. Python/TUI. Fills the ""how do multiple agents agree on an answer"" gap."
62,Agent Orchestrator,"Parallel coding agent orchestrator that plans tasks, spawns agents via tmux+git worktrees, and autonomously handles CI fixes, merge conflicts, and code reviews.",agent-infrastructure,github,tool,https://github.com/ComposioHQ/agent-orchestrator,,7179,TypeScript,t,2026-05-21 10:57:53.806356+00,"Solves the real scaling problem: running multiple coding agents in parallel without them stepping on each other. Uses git worktrees for isolation, tmux for process management. 7K stars, actively maintained."
63,ByteRover CLI,Portable memory layer for autonomous coding agents. Formerly Cipher. Works as MCP server providing persistent context across sessions.,agent-infrastructure,github,tool,https://github.com/campfirein/byterover-cli,,4769,TypeScript,t,2026-05-21 10:57:53.806356+00,"Tackles the agent memory gap between sessions without requiring a full RAG pipeline. Portable = works with Claude Code, Codex, any agent. 4.7K stars."
64,cc-sdd (Spec-Driven Development),"Turns approved specs into long-running autonomous implementation. Minimal SDD harness with agent skills for Claude Code, Codex, Cursor, Copilot, Gemini CLI.",agents-frameworks,github,tool,https://github.com/gotalab/cc-sdd,,3374,TypeScript,t,2026-05-21 10:57:53.806356+00,"Interesting approach: instead of letting agents freestyle, constrain them with approved specs first. The spec-as-contract pattern reduces hallucinated implementations."
65,agentmemory,"Persistent memory for AI coding agents based on real-world benchmarks. Records what your agent does during every session, compresses it with AI, injects the right context back when the next session starts. Works with Claude Code, Codex, Cursor, Hermes. 4-layer memory architecture: working, episodic, semantic, procedural. 95.2% retrieval accuracy at top-5 on LongMemEval-S.",agent-memory,github,project,https://github.com/rohitg00/agentmemory,,15516,TypeScript,t,2026-05-21 11:36:13.447747+00,15.5K stars in 3 months. Single tweet got 981 bookmarks and 36K views. Agent memory is THE hot topic right now — every coding agent loses context between sessions and this solves it with real benchmarks. Share trigger: 95.2% retrieval accuracy + 4-layer memory model inspired by human cognition.
66,MemOS,"Self-evolving memory OS for LLM and AI agents. Ultra-persistent memory, hybrid-retrieval (keyword + vector + graph), and cross-task skill reuse. Claims 35.24% token savings through intelligent memory compression and retrieval.",agent-memory,github,project,https://github.com/MemTensor/MemOS,,9260,TypeScript,t,2026-05-21 11:36:13.447747+00,9.2K stars. The token savings claim (35.24%) is concrete and shareable. Cross-task skill reuse is different from just session memory — it learns across projects. Hybrid retrieval (keyword + vector + graph) is technically interesting vs pure vector approaches.
67,engram,"Persistent memory system for AI coding agents. Agent-agnostic Go binary with SQLite + FTS5, MCP server, HTTP API, CLI, and TUI. No external dependencies — runs as a single binary.",agent-infrastructure,github,project,https://github.com/Gentleman-Programming/engram,,3681,Go,t,2026-05-21 11:36:13.447747+00,"3.6K stars. Contrarian approach in a TypeScript-dominated space: pure Go, SQLite-based, no cloud deps. Agent-agnostic means it works with any tool that speaks MCP. Single binary deployment is a real advantage over node-heavy alternatives."
68,osaurus,"Native macOS harness for AI agents. Any model, persistent memory, autonomous execution, cryptographic identity. Built in Swift. Fully offline. Open source. MCP compatible.",agent-infrastructure,github,project,https://github.com/osaurus-ai/osaurus,,5477,Swift,t,2026-05-21 11:36:13.447747+00,5.4K stars. Fully offline + crypto identity is a strong contrarian angle in the everything-cloud era. Swift native means it actually uses macOS hardware properly. Share trigger: local-first agent that owns its own identity without any cloud service.
69,ECC,"Agent harness performance optimization system. Skills, instincts, memory, security, and research-first development for Claude Code, Codex, Opencode, Cursor and beyond.",agent-infrastructure,github,project,https://github.com/affaan-m/ECC,,188000,JavaScript,t,2026-05-21 12:05:18.062538+00,188K stars in 4 months. Unified optimization layer across all major coding agents. Skills + instincts + memory + security in one package. Fastest-growing agent tooling repo.
70,OpenViking,"Open-source context database designed specifically for AI Agents. Unifies management of context (memory, resources, skills) through a file system paradigm with hierarchical context delivery and self-evolving.",agent-infrastructure,github,project,https://github.com/volcengine/OpenViking,,24380,Python,t,2026-05-21 12:05:18.066356+00,ByteDance/Volcengine building a context OS for agents. File system paradigm is different from vector-only approaches. 24K stars. Self-evolving context management.
71,memvid,"Memory layer for AI Agents. Replaces complex RAG pipelines with a serverless, single-file memory layer. Gives agents instant retrieval and long-term memory. Built in Rust.",agent-memory,github,project,https://github.com/memvid/memvid,,15542,Rust,t,2026-05-21 12:05:18.069836+00,"Replaces entire RAG stacks with a single MP4 file. Rust-based, offline-first, zero infrastructure. 15.5K stars. The ""anti-pipeline"" approach to agent memory."
72,code-review-graph,Local knowledge graph for Claude Code. Builds a persistent map of your codebase so Claude reads only what matters — 6.8x fewer tokens on reviews and up to 49x on daily coding tasks. 19+ languages. Runs fully local. No API keys.,agent-infrastructure,twitter,tool,https://github.com/tirth8205/code-review-graph,,17071,Python,t,2026-05-21 13:05:20.180475+00,"Reduces Claude Code tool calls by 94% by indexing codebase into a knowledge graph upfront instead of scanning files. 17K stars in ~3 months. Viral on Twitter (264+ likes). The ""stop scanning, start querying"" approach to agent code intelligence."
73,Mirage,"A unified virtual filesystem for AI agents. Gives every agent a consistent file interface regardless of backend. Works with Claude Code, LangChain, OpenAI agents. TypeScript + Python.",agent-infrastructure,github,tool,https://github.com/strukto-ai/mirage,,2526,TypeScript,t,2026-05-21 13:05:20.184674+00,"Only 15 days old, already 2.5K stars. Solves the ""every agent has a different IO model"" problem. VFS abstraction means agents can read/write without caring about where data lives. Fresh project with strong traction."
74,smallcode,AI coding agent optimized for small LLMs. Hits 87% benchmark score with only a 4B-active parameter model. Proves you dont need massive models for real coding tasks.,agents-frameworks,github,project,https://github.com/Doorman11991/smallcode,https://github.com/Doorman11991/smallcode,1216,JavaScript,t,2026-05-21 13:05:20.187582+00,"Hot take material: 4B model beating agents that run on 70B+ models. 979 stars in 3 days. Directly challenges the ""you need the biggest model"" narrative. Cost implications are huge — run a coding agent on a potato."
75,ARGO,"Open-source local AI agent platform. Manus-style autonomous task execution running 100% on your laptop. No cloud, no subscription. Multi-agent task engine with planning, reflection, tool chaining. Ollama + HuggingFace + OpenAI/Claude/DeepSeek. Full MCP support. Local RAG.",agents-frameworks,twitter,project,https://github.com/xark-argo/argo,,662,TypeScript,t,2026-05-21 13:05:20.190293+00,"Directly challenges $39/month Manus. No cloud dependency, no data leaving your machine. The ""Manus but local"" positioning is viral. Human-in-the-loop planning step. Native apps for Mac/Windows/Linux."
76,mcp2cli,"Turn any MCP, OpenAPI, or GraphQL server into a CLI — at runtime, with zero codegen. Every MCP server loads ALL tool definitions on EVERY turn. mcp2cli converts them to simple commands the agent calls only when needed. Saves thousands of tokens per turn.",agent-infrastructure,github,tool,https://github.com/knowsuchagency/mcp2cli,,2147,Python,t,2026-05-21 13:05:20.193071+00,Practical cost-saver for anyone running agents with MCP. The insight that MCP burns tokens on unused tool definitions is a real problem. 2.1K stars. Zero codegen at runtime is clever engineering.
77,Dulus,"Free CLI agent that harvests Gemini (guest, no login), Claude.ai, Kimi, Qwen, DeepSeek browser sessions and turns them into tool-calling agents. Reads and edits files, runs Bash, greps repos, browses the web, ships commits. All from terminal at $0.",agents-frameworks,github,tool,https://github.com/KevRojo/Dulus,,625,Python,t,2026-05-21 13:05:20.195655+00,"Provocative approach — instead of paying for API access, it piggybacks on free browser sessions. 625 stars. The ""why pay for APIs"" angle is contrarian enough to get attention. Practical for devs who want agent capabilities without API bills."
78,Zerolang,"Agent-first programming language by Vercel Labs. Small regular syntax agents learn on the fly. Structured diagnostics, deterministic tooling, deep stdlib. Written in C, Apache-2.0.",agent-infrastructure,github,project,https://github.com/vercel-labs/zerolang,,4120,C,t,2026-05-21 13:34:37.242863+00,4.1K stars in 6 days. Top tweet got 58K views. First language designed specifically for agents as primary users. Compare: prompts vs agent-native code.
79,Photo-agents,"Autonomous self-evolving agents with vision-grounded layered memory. Perceive/reason/act loop. Agents write own skills from real success. Multi-provider LLM router, browser automation, sandboxed code exec. Python.",agents-frameworks,github,project,https://github.com/jmerelnyc/Photo-agents,,1022,Python,t,2026-05-21 13:34:37.246145+00,Self-evolving agent narrative exploding (dair_ai survey 252K views). Vision+memory+self-written-skills combo is unique. 1K stars in 2 weeks.
80,OpenSquilla,"Token-efficient microkernel AI agent. Local model router sends each turn to cheapest capable model. Persistent memory, layered sandbox, web search, on-device embeddings. 20+ LLM providers. Python.",agents-frameworks,github,project,https://github.com/opensquilla/opensquilla,,1278,Python,t,2026-05-21 13:34:37.248444+00,"Directly addresses rising API costs (GPT-5.5 2x, Claude +46%). Model routing = pay less for same results. 1.3K stars, Apache-2.0."
81,OctoTools,"Agentic framework with extensible tool cards for complex reasoning. Planner+executor loop, standardized tool metadata. Broad LLM support. Python, MIT.",agents-frameworks,github,project,https://github.com/octotools/octotools,,1462,Python,t,2026-05-21 13:34:37.250707+00,Tool-card pattern is interesting for modular agent design. 1.4K stars. Older (Feb 2025). Lower urgency.
82,EverOS,"Build, evaluate, and integrate long-term memory for self-evolving agents. Python, Apache-2.0.",agent-infrastructure,github,tool,https://github.com/EverMind-AI/EverOS,,5398,Python,t,2026-05-21 14:03:24.56533+00,Combines memory layer WITH eval framework. 5.4K stars. Most agent memory repos just store. This one evaluates whether the memory actually helps. Also has self-evolving agent architecture built in.
83,SimpleMem,"Efficient lifelong memory for LLM agents — text and multimodal. Python, MIT.",agent-infrastructure,github,tool,https://github.com/aiming-lab/SimpleMem,,3328,Python,t,2026-05-21 14:03:24.568941+00,Research-backed memory system that handles text AND multimodal. 3.3K stars. Most memory tools are text-only. This one extends to images and structured data. MIT license makes it easy to adopt.
84,moltis,"Secure persistent personal agent server in Rust. One binary, sandboxed execution, multi-provider LLMs, voice, memory, messaging integrations. Runs on your hardware.",agents-frameworks,github,tool,https://github.com/moltis-org/moltis,,2698,Rust,t,2026-05-21 14:03:24.571372+00,"Rust binary with sandboxed execution. Single deployable unit. Connects to Telegram, WhatsApp, Discord, Teams. 2.7K stars and growing. The ""run on your hardware"" angle is the story — no cloud dependency, no vendor lock-in."
85,oh-my-claudecode,"Teams-first multi-agent orchestration for Claude Code. Parallel execution, agent specialization.",agents-frameworks,github,tool,https://github.com/Yeachan-Heo/oh-my-claudecode,,34487,TypeScript,t,2026-05-21 14:03:24.573614+00,"34K stars. The ""teams-first"" approach is the differentiator — not just multi-agent, but structured team roles with parallel execution. This is the direction agent frameworks are converging toward."
86,TradingAgents,"Multi-agent LLM financial trading framework. Research Desk, Quant Team, Trading Floor, and Risk Management as separate agents orchestrated together. Python.",agents-frameworks,twitter,project,https://github.com/TauricResearch/TradingAgents,,78109,Python,t,2026-05-21 14:34:40.020832+00,"78K stars. Multi-agent architecture applied to financial trading — each role (researcher, quant, trader, risk) is a separate LLM agent. Practical example of multi-agent coordination solving a complex domain problem. The bull/bear debate mechanism between agents is novel."
87,zeroclaw,"Fast, small, fully autonomous AI personal assistant infrastructure. Rust-based. Deploy anywhere, any OS, any platform. Modular swap-anything architecture.",agent-infrastructure,github,project,https://github.com/zeroclaw-labs/zeroclaw,,31500,Rust,t,2026-05-21 14:34:40.024707+00,"31K stars, created Feb 2026 (3 months old). Rust means real sandboxing, not theater. ""Deploy anywhere"" claim backed by cross-platform binary. The ""swap anything"" modular design is the interesting architecture choice — lets you swap LLM providers, memory backends, tool integrations independently."
88,MCP Toolbox for Databases,"Open-source MCP server by Google for databases. Supports PostgreSQL, MySQL, BigQuery, Spanner, MongoDB, Redis, Elasticsearch, ClickHouse, CockroachDB, Oracle, TiDB, Firestore, and more. Go.",mcp,github,tool,https://github.com/googleapis/mcp-toolbox,,15296,Go,t,2026-05-21 14:34:40.027317+00,"15K stars. Google official. 20+ database backends via single MCP server. This is the ""just works"" layer between agents and data — no more custom database connectors per agent. Go means single binary deployment."
89,omo (oh-my-openagent),"The best agent harness. Previously oh-my-opencode. 58.8K stars. Supports Claude Code, Codex, Cursor, Gemini CLI, OpenCode. Modular skills, orchestration, agent loop — all in one harness.",agents-frameworks,github,project,https://github.com/code-yeongyu/oh-my-openagent,,58880,TypeScript,t,2026-05-21 15:33:56.608799+00,"58.8K stars in 6 months. Started as oh-my-opencode, evolved into a universal agent harness. The author also built lightweight agent loop that uses <40% CPU and 3GB RAM vs bloated alternatives. Claude Code + Codex + Cursor all supported."
90,agent-lightning,"Microsoft open-source RL trainer for AI agents. Works with LangChain, AutoGen, CrewAI, OpenAI SDK, or plain Python. Captures prompts, tool calls, rewards as structured events. Trains improved prompts or policy weights automatically.",agents-frameworks,github,tool,https://github.com/microsoft/agent-lightning,,17201,Python,t,2026-05-21 15:33:56.612577+00,"17.2K stars. Microsoft built an RL loop that makes ANY agent framework better without rewriting prompts. Agnostic to your stack — drop in agl.emit(), pick algorithm, agent improves. First time RL for agent optimization is this accessible."
91,html-anything,"Agentic HTML editor — your local AI agent writes the HTML, you ship it. 75 skills × 9 surfaces (magazine, deck, poster, XHS/tweet, prototype, data report, Hyperframes). Sandboxed preview, 1-click publish to WeChat/X/Zhihu. Zero API key required.",agent-tools,github,tool,https://github.com/nexu-io/html-anything,,4443,HTML,t,2026-05-21 15:33:56.614996+00,"4.4K stars in 3 weeks. 75 skills, 9 output surfaces, zero API keys. Works with Claude Code, Cursor, Codex, Gemini, Copilot, OpenCode. The skill-based architecture is clean — composable agent primitives, not monolithic templates."
92,AiSOC,"Open-source AI-powered Security Operations Center. Alert fusion, purple-team drills, agent-assisted triage, MITRE ATT&CK investigation. MIT-licensed, self-hostable. Python + Next.js.",agent-security,github,project,https://github.com/beenuar/AiSOC,,1100,Python,t,2026-05-21 15:33:56.617356+00,"1.1K stars. First real open-source AI SOC. Agent-assisted alert triage with MITRE ATT&CK mapping. The agent architecture is interesting — separate agents for detection, investigation, and response. Self-hostable, MIT license."
93,holaOS,"Agent OS that turns repeat work into running AI work-streams. Electron-based, MCP-compatible, with persistent memory and proactive AI runtime. TypeScript.",agent-infrastructure,github,project,https://github.com/holaboss-ai/holaOS,,5649,TypeScript,t,2026-05-21 16:04:45.637314+00,5.6K stars in 2 months. Agent OS category is heating up — not just a harness but a workspace that learns your patterns.
94,Microsoft Agent Governance Toolkit — Runtime Policy Enforcement for Every Agent Tool Call (1.9K Stars),"Microsoft toolkit that intercepts every tool call, resource access, and inter-agent message BEFORE execution. Deterministic, sub-millisecond, auditable. Covers 10/10 OWASP Agentic Top 10. PyPI, npm, NuGet.",agent_security,github,project,https://github.com/microsoft/agent-governance-toolkit,https://github.com/microsoft/agent-governance-toolkit,1881,Python,t,2026-05-21 16:04:45.637314+00,Microsoft shipping agent security tooling that covers ALL OWASP agentic top-10. Signal that agent governance is becoming enterprise requirement.
95,TEN Framework,"Open-source framework for conversational voice AI agents. Multi-modal, real-time voice + video. Python.",agents-frameworks,github,project,https://github.com/TEN-framework/ten-framework,,10598,Python,t,2026-05-21 16:04:45.637314+00,10.6K stars. Voice agents are the next frontier after text agents — TEN is the leading framework in this niche.
96,nexent,"Zero-code platform for auto-generating production-grade AI agents using Harness Engineering principles. Unified tools, skills, memory, orchestration with constraints, feedback loops, control planes. Python, MIT.",agents-frameworks,github,project,https://github.com/ModelEngine-Group/nexent,,4609,Python,t,2026-05-21 16:04:45.637314+00,4.6K stars. Harness engineering applied to agents — the no-code angle could be interesting for non-dev audience.
97,boxlite,"Compute substrate for AI agents: lightweight on laptop, elastic to cloud. Rust + TypeScript, Apache 2.0. Embedded, self-hosted, serverless.",agent-infrastructure,github,project,https://github.com/boxlite-ai/boxlite,,2078,TypeScript,t,2026-05-21 16:04:45.637314+00,Laptop-to-cloud agent sandbox. Same space as microsandbox but cloud-elastic. Good comparativo angle.
98,mcpc,"Universal CLI client for MCP by Apify. Persistent sessions, stdio/HTTP, OAuth 2.1, tasks, JSON output, proxy for AI sandboxes, x402 support.",mcp,github,project,https://github.com/apify/mcpc,,641,TypeScript,t,2026-05-21 16:04:45.637314+00,"MCP ecosystem maturing — a universal CLI client means MCP is becoming infrastructure, not just a protocol."
